,varname1,varval1,lift,cumlift,booster
1394,assay:API_coryne_MAN,0,1.0086081358215533,1.0086081358215533,x1.0
1395,assay:API_coryne_NIT,0,1.0109026568797936,1.0109026568797936,x1.0
1396,assay:API_coryne_NIT,1,0.35393553646761844,0.35393553646761844,/2.8
1397,assay:API_coryne_PAL,0,1.0222003635972263,1.0222003635972263,x1.0
1398,assay:API_coryne_PAL,1,0.4305081284918628,0.4305081284918628,/2.3
1399,assay:API_coryne_PYRA,0,1.0174485467615724,1.0174485467615724,x1.0
1400,assay:API_coryne_PYRA,1,0.37718282985067486,0.37718282985067486,/2.7
1401,assay:API_coryne_PYZ,0,1.020118445884396,1.020118445884396,x1.0
1402,assay:API_coryne_PYZ,1,0.27274929227788114,0.27274929227788114,/3.7
1403,assay:API_coryne_RIB,0,1.011443375423008,1.011443375423008,x1.0
1404,assay:API_coryne_SAC,0,1.0167902650100467,1.0167902650100467,x1.0
1405,assay:API_coryne_SAC,1,0.40811782097381144,0.40811782097381144,/2.5
1406,assay:API_coryne_URE,0,1.0179327395487845,1.0179327395487845,x1.0
1407,assay:API_coryne_URE,1,0.3819205969297891,0.3819205969297891,/2.6
1408,assay:API_coryne_XYL,0,1.0046217344469186,1.0046217344469186,x1.0
1409,assay:API_coryne_alpha GLU,0,1.0259275671454742,1.0259275671454742,x1.0
1410,assay:API_coryne_alpha GLU,1,0.3938071648991871,0.3938071648991871,/2.5
1411,assay:API_coryne_beta GAL,0,1.0132902420059167,1.0132902420059167,x1.0
1412,assay:API_coryne_beta GAL,1,0.5144354707130037,0.5144354707130037,/1.9
1413,assay:API_coryne_beta GUR,0,1.007167583697492,1.007167583697492,x1.0
1414,assay:API_coryne_beta NAG,0,1.0069363619070066,1.0069363619070066,x1.0
1415,assay:API_coryne_beta NAG,1,0.5491618839636461,0.5491618839636461,/1.8
1416,assay:API_rID32A_ADH Arg,0,1.0066487875740306,1.0066487875740306,x1.0
1417,assay:API_rID32A_AlaA,0,1.0138427775589445,1.0138427775589445,x1.0
1418,assay:API_rID32A_ArgA,0,1.012703052104997,1.012703052104997,x1.0
1419,assay:API_rID32A_GDC,0,1.0034530771372878,1.0034530771372878,x1.0
1420,assay:API_rID32A_GGA,0,1.0044600546356692,1.0044600546356692,x1.0
1421,assay:API_rID32A_GlyA,0,1.0078876706198256,1.0078876706198256,x1.0
1422,assay:API_rID32A_HisA,0,1.0069300843905438,1.0069300843905438,x1.0
1423,assay:API_rID32A_IND,0,1.0050764253040276,1.0050764253040276,x1.0
1424,assay:API_rID32A_LGA,0,1.0111684813110338,1.0111684813110338,x1.0
1425,assay:API_rID32A_LeuA,0,1.0095819791549927,1.0095819791549927,x1.0
1426,assay:API_rID32A_MNE,0,1.0092426618866233,1.0092426618866233,x1.0
1427,assay:API_rID32A_NIT,0,1.002950345134714,1.002950345134714,x1.0
1428,assay:API_rID32A_PAL,0,1.0121910112359551,1.0121910112359551,x1.0
1429,assay:API_rID32A_PheA,0,1.0061990394281248,1.0061990394281248,x1.0
1430,assay:API_rID32A_ProA,0,1.0082825004197211,1.0082825004197211,x1.0
1431,assay:API_rID32A_PyrA,0,1.0036766753941284,1.0036766753941284,x1.0
1432,assay:API_rID32A_RAF,0,1.0055251702198906,1.0055251702198906,x1.0
1433,assay:API_rID32A_SerA,0,1.0051885739790225,1.0051885739790225,x1.0
1434,assay:API_rID32A_TyrA,0,1.0069300843905438,1.0069300843905438,x1.0
1435,assay:API_rID32A_URE,0,1.0011669259835518,1.0011669259835518,x1.0
1436,assay:API_rID32A_alpha ARA,0,1.0052446577023937,1.0052446577023937,x1.0
1437,assay:API_rID32A_alpha FUC,0,1.0042361072403991,1.0042361072403991,x1.0
1438,assay:API_rID32A_alpha GAL,0,1.0111684813110338,1.0111684813110338,x1.0
1439,assay:API_rID32A_alpha GLU,0,1.0165312570525842,1.0165312570525842,x1.0
1440,assay:API_rID32A_beta GAL,0,1.0176796204247627,1.0176796204247627,x1.0
1441,assay:API_rID32A_beta GLU,0,1.0102046537706757,1.0102046537706757,x1.0
1442,assay:API_rID32A_beta GP,0,1.0023923444976077,1.0023923444976077,x1.0
1443,assay:API_rID32A_beta GUR,0,1.002113576950887,1.002113576950887,x1.0
1444,assay:API_rID32A_beta NAG,0,1.0101480152500562,1.0101480152500562,x1.0
1445,assay:API_rID32STR_ADH Arg,0,1.0045160570918823,1.0045160570918823,x1.0
